,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper,G
53,-7.5164,0.00033488,2.685e-06,0.046242,0.010494,0.010494,3,-17.493,0.13927,0.29841,0.055474,0.016899,0.016899,0.0041322,0.022435,0.022435,0.046242,0.010494,0.010494,0.19689,0.021605000000000003,0.021605000000000003,0.8030256087007618,-14.559328281551998,-30.988704281552,-17.513568281551997,30.693791718448004,3.127212,3.127212,1.044950508525
54,-7.6582,0.00034644,4.0106999999999996e-06,0.045721,0.011208,0.011208,3,-18.773,0.13237000000000002,0.27856,0.05173200000000001,0.015235,0.015235,0.0044241,0.023332,0.023332,0.045721,0.011208,0.011208,0.18439,0.01871,0.01871,0.818175019497655,-16.872138729875996,-32.010666729876,-18.795658729876,25.578421270124004,3.339984,3.339984,1.093256096525
55,-7.8,0.00035474,6.1103e-06,0.045486,0.016773,0.011488,3,-19.646,0.12623,0.25916999999999996,0.048128,0.014130000000000002,0.014130000000000002,0.004813899999999999,0.024135,0.024135,0.045486,0.011206,0.011206,0.17229,0.018241999999999998,0.018241999999999998,0.8333244302945482,-18.826246992945997,-32.686758992946,-19.671686992945993,20.90559300705401,3.339388,3.339388,1.142969758525
56,-7.9419,0.00036146,8.6348e-06,0.044847000000000005,0.013441999999999999,0.011762,3,-20.498,0.12072999999999999,0.24118,0.045687,0.012602,0.012602,0.0059216,0.023582,0.023582,0.044847000000000005,0.011408,0.011408,0.1617,0.016286000000000002,0.016286000000000002,0.8484845247379836,-20.255748430034,-32.980676430034,-20.524548430034,16.868411569966,3.399584,3.399584,1.1937841485250003
57,-8.0837,0.00037015,1.0654000000000002e-05,0.044976,0.012454,0.011404000000000001,3,-21.294,0.1229,0.2347,0.045501,0.011929,0.011929,0.007076899999999999,0.023093000000000002,0.023093000000000002,0.044976,0.010962000000000001,0.010962000000000001,0.15827,0.015483000000000002,0.015483000000000002,0.8636339355348769,-21.153725972934996,-33.449437972934994,-21.321725972934995,14.932354027065003,3.2666760000000004,3.2666760000000004,1.2456552975250001
58,-8.2255,0.00038629,1.0239e-05,0.046451,0.012819999999999998,0.010733,3,-22.383000000000003,0.13777999999999999,0.25643,0.048068,0.011202,0.011202,0.0061373999999999995,0.023959,0.023959,0.046451,0.010733,0.010733,0.17185,0.015231999999999999,0.015231999999999999,0.87878334633177,-21.889559245941,-35.307351245941,-22.406999245941,17.720680754059003,3.1984339999999998,3.1984339999999998,1.2992868935250002
59,-8.3673,0.00041031,7.7652e-06,0.050217000000000005,0.012383,0.012383,3,-23.500999999999998,0.16365,0.30996999999999997,0.051033999999999996,0.0090905,0.0090905,0.0016829,0.028695,0.028695,0.050217000000000005,0.012383,0.012383,0.20310999999999998,0.014943000000000001,0.014943000000000001,0.8939327571286633,-23.258016942199,-39.050368942199,-23.519456942199,25.406303057800997,3.690134,3.690134,1.355765833525
60,-8.5091,0.00043749,6.5988e-06,0.053595000000000004,0.014100999999999999,0.014100999999999999,3,-25.043000000000003,0.18347,0.35041,0.05555,0.0099928,0.0099928,-0.00037942,0.031858,0.031858,0.053595000000000004,0.014100999999999999,0.014100999999999999,0.22723000000000002,0.015369999999999998,0.015369999999999998,0.9090821679255564,-24.435368290421,-42.332782690421,-25.060968290421,30.502231709579,4.2020979999999994,4.2020979999999994,1.415874853525
61,-8.651,0.00047152,5.5113e-06,0.057992999999999996,0.015757,0.015757,3,-26.92,0.20526,0.40256,0.059851,0.011382999999999999,0.011382999999999999,-0.0043771,0.036581,0.036581,0.057992999999999996,0.015757,0.015757,0.25735,0.019266,0.019266,0.9242422623689919,-26.342444169008,-46.895436169008,-26.937004169008002,36.857235830992,4.6955860000000005,4.6955860000000005,1.4803691130249998
62,-8.7928,0.00051279,4.3231999999999995e-06,0.0633,0.019857,0.019857,3,-29.201999999999998,0.23525,0.47744,0.062291,0.010216,0.010216,-0.011766,0.045196,0.045196,0.0633,0.019857,0.019857,0.29908,,,0.939391673165885,-29.54359385779099,-53.24183385779099,-29.22071385779099,46.228886142209014,5.917386,5.917386,1.5501566920249998
63,-8.9346,0.00056303,3.0028e-06,0.070754,0.024495,0.024495,3,-31.664,0.28439000000000003,0.58309,0.065,0.010145999999999999,0.010145999999999999,-0.022284,0.0587,0.0587,0.070754,0.024495,0.024495,0.35652,1.1447,1.1447,0.9545410839627783,-33.524136982687,-61.45501698268699,-31.682856982686996,59.762263017313,7.29951,7.29951,1.6264323300249999
64,-9.0764,0.00062367,1.6553e-06,0.085234,0.038021,0.038021,3,-32.876999999999995,0.34124,0.71018,0.063135,0.0113,0.0113,-0.034788,0.082383,0.082383,0.085234,0.038021,0.038021,0.4214,1.4121,1.4121,0.9696904947596714,-39.97180756974299,-71.307167569743,-32.90012756974299,74.67299243025701,11.330258,11.330258,1.7105693600249998
65,-9.2182,0.00069491,7.0064e-07,0.11177000000000001,0.061433,0.061433,3,-31.256,0.47503999999999996,0.9504799999999999,0.040099,0.0070622,0.0070622,-0.05594,0.12787,0.12787,0.11177000000000001,0.061433,0.061433,0.53965,2.0878,2.0878,0.9848399055565646,-54.21694268553899,-84.94942268553899,-31.282222685538983,105.639377314461,18.307034,18.307034,1.8040566820249997
66,-9.3601,0.00078891,0.00040943,0.025810000000000003,0.03553,0.03553,1,-67.85300000000001,0.75759,1.5113,0.025810000000000003,0.03553,0.03553,-0.11775999999999999,0.19061,0.19061,0.13702999999999999,0.087623,0.087623,0.83265,3.877,3.877,1.0,-67.85904397813898,-113.80144397813899,-32.268643978138996,190.329756021861,26.111654,26.111654,1.9093337110249995
