,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1],M2 Enthalpy [J mol-1],M3 Enthalpy [J mol-1],M4 Enthalpy [J mol-1],M3 Enthalpy_Lower,M3 Enthalpy_Upper
51,1.4593,8.7961e-05,0.00020716,-0.0071895,0.002032,0.002032,3,-10.641,-0.019189,0.020149,-0.0031795,0.0011925,0.0011925,-0.0036395,0.0031826,0.0031826,-0.0071895,0.002032,0.002032,-0.0045053,0.00055865,0.00055865,0.8360355199083357,-9.434437367216898,-9.571517367216899,-10.629417367216899,-9.829525767216898,0.605536,0.605536
52,1.4879,8.778e-05,0.00021472,-0.0078128,0.0018428,0.0018428,3,-10.811,-0.020632,0.021865,-0.0037658,0.0011831,0.0011831,-0.0040037,0.0034852,0.0034852,-0.0078128,0.0018428,0.0018428,-0.0049905,0.00069649,0.00069649,0.8524205098825551,-9.591690921962,-9.662585121962,-10.797696921962,-9.956651521962,0.5491543999999999,0.5491543999999999
53,1.5165,8.756e-05,0.00023226,-0.0079767,0.0023226,0.0023226,3,-10.84,-0.022182,0.023574,-0.0039954,0.0016263,0.0016263,-0.0038978,0.0032343,0.0032343,-0.0079767,0.0023226,0.0023226,-0.0050054,0.00033976,0.00033976,0.8688054998567745,-9.638884948724,-9.609800148724,-10.825312348724,-9.939864948724,0.6921348,0.6921348
54,1.5452,8.7246e-05,0.00025045,-0.0090582,0.0020766,0.0020766,3,-11.134,-0.024215,0.026535,-0.0051689,0.001561,0.001561,-0.00454,0.0036567,0.0036567,-0.0090582,0.0020766,0.0020766,-0.0058673,0.00057249,0.00057249,0.8852477800057289,-9.9582915541934,-9.770879354193399,-11.1173029541934,-10.166414754193399,0.6188268,0.6188268
55,1.5738,8.6803e-05,0.00028064,-0.0094592,0.0022505,0.0022505,3,-11.212,-0.027417,0.02912,-0.0060001,0.0018921,0.0018921,-0.0046109,0.0034781,0.0034781,-0.0094592,0.0022505,0.0022505,-0.0061536,0.00032348,0.00032348,0.9016327699799485,-10.1632461517187,-9.749264551718701,-11.194057951718701,-10.2089891517187,0.6706489999999999,0.6706489999999999
56,1.6024,8.6107e-05,0.00033166,-0.010438,0.0023326,0.0023326,3,-11.438,-0.03145,0.034485,-0.0075835,0.0021047,0.0021047,-0.0049414,0.0036248,0.0036248,-0.010438,0.0023326,0.0023326,-0.0068431,0.00027642,0.00027642,0.9180177599541679,-10.567945560020299,-9.780599760020298,-11.418586560020298,-10.347306360020298,0.6951148,0.6951148
57,1.631,8.4928e-05,0.00042746,-0.011941,0.0024152,0.0024152,3,-11.774,-0.036519,0.041567,-0.010207,0.0022485,0.0022485,-0.0057631,0.0036025,0.0036025,-0.011941,0.0024152,0.0024152,-0.008072,0.00017947,0.00017947,0.9344027499283872,-11.2359923525312,-9.9117101525312,-11.7527243525312,-10.599762352531199,0.7197296000000001,0.7197296000000001
58,1.6596,8.2623e-05,0.00061864,-0.014012,0.0025178,0.0025178,3,-12.173,-0.045338,0.050974,-0.013921,0.0022656,0.0022656,-0.0070416,0.0034437,0.0034437,-0.014012,0.0025178,0.0025178,-0.0098169,2.5353e-05,2.5353e-05,0.9507877399026067,-12.120365660196699,-10.070304460196699,-12.147483660196698,-10.897343860196699,0.7503044000000001,0.7503044000000001
59,1.6882,7.7127e-05,0.00087202,-0.017464,0.0025334,0.0025334,3,-12.677,-0.055016,0.059995,-0.019279,0.0024307,0.0024307,-0.010282,0.0031006,0.0031006,-0.017464,0.0025334,0.0025334,-0.013363,0.00033115,0.00033115,0.967172729876826,-13.1867662705783,-10.5056602705783,-12.6458962705783,-11.423798270578299,0.7549532,0.7549532
60,1.7168,6.0661e-05,0.00068836,-0.019183,0.0011137,0.0011137,3,-11.603,-0.05548,0.054262,-0.021749,0.0023076,0.0023076,-0.013688,0.0030059,0.0030059,-0.019183,0.0011137,0.0011137,-0.016542,0.00026078,0.00026078,0.9835577198510456,-12.3340987790469,-9.9319207790469,-11.569430779046899,-10.7824127790469,0.3318826,0.3318826
61,1.7455,1.8154e-05,0.0094687,-0.0025872,0.00081834,0.00081834,3,-2.5269,-0.02085,0.032501,-0.0023199,5.4486e-06,5.4486e-06,0.0021908,0.0031918,0.0031918,-0.0025872,0.00081834,0.00081834,0.00049164,0.0012459,0.0012459,1.0,-2.4429249334665997,-1.0987363334665998,-2.5225803334665997,-1.6050860134665998,0.24386532,0.24386532
