,Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1],SOC,M1 Enthalpy [J mol-1]
102,6.4446,0.00012229,0.009478,0.0070162,0.0021377,0.0021377,3,-9.6889,-0.08567,0.16551,0.010994,0.011084,0.011084,0.026786,0.014856,0.014856,0.0070162,0.0021377,0.0021377,0.017146,0.00036057,0.00036057,0.75,-8.522979360340997
103,6.5077,0.00012061,0.0001219,0.02977,0.0072987,0.0072987,2,-2.6871,-0.086767,0.17308,0.005723,0.013163,0.013163,0.02977,0.0072987,0.0072987,0.012582,0.0054917,0.0054917,0.019897,0.0050717,0.0050717,0.7573433572293082,-9.931642001069
104,6.5709,0.00011877,0.00012142,0.02557,0.0066725,0.0066725,2,-3.772,-0.090481,0.18615,-0.0070073,0.017536,0.017536,0.02557,0.0066725,0.0066725,0.0089294,0.0168,0.0168,0.016524,0.014848,0.014848,0.7646983521087422,-13.547738388532998
105,6.6341,0.0001167,0.00012219,0.012704,0.019817,0.019817,2,-7.4411,-0.10067,0.19266,-0.022474,0.018873,0.018873,0.012704,0.019817,0.019817,-0.0015793,0.026851,0.026851,0.0064438,0.023799,0.023799,0.7720533469881761,-17.95709034943
106,6.6973,0.00011435,0.00012423,0.0025488,0.020776,0.020776,2,-10.267,-0.090105,0.20145,-0.031943,0.01035,0.01035,0.0025488,0.020776,0.020776,-0.011999,0.027102,0.027102,-0.0012301,0.02245,0.02245,0.7794083418676101,-20.552111817114998
107,6.7605,0.00011169,0.00012407,0.0065885,0.0015852,0.0015852,2,-8.7972,-0.066847,0.19562,-0.02443,0.011677,0.011677,0.0065885,0.0015852,0.0015852,-0.016616,0.020729,0.020729,0.0040556,0.0024304,0.0024304,0.786763336747044,-18.056586831601
108,6.8237,0.00010861,2.8325,0.0080044,0.0021228,0.0021228,3,-8.075,-0.033524,0.17799,0.0011791,0.027345,0.027345,0.028635,0.016845,0.016845,0.0080044,0.0021228,0.0021228,0.026115,0.016102,0.016102,0.7941183316264779,-10.127900206268999
109,6.8868,0.00010482,0.43392,0.031431,0.020452,0.026323,3,-0.6723,-0.0011999,0.14454,0.028496,0.023388,0.023388,0.051464,0.020519,0.020519,0.031431,0.0003636,0.0003636,0.047821,0.018942,0.018942,0.8014616888557862,-1.6217845945779992
110,6.95,0.00010061,0.039789,0.030611,0.0045681,0.0045681,3,-0.50797,0.0066415,0.10162,0.033854,0.012252,0.012252,0.048307,0.018876,0.018876,0.030611,0.0045681,0.0045681,0.043515,0.014625,0.014625,0.8088166837352202,0.38110265693100054
111,7.0132,9.7322e-05,0.0001122,0.027433,0.0084144,0.0085813,1,-1.1446,-0.0019482,0.067792,0.027433,0.0038982,0.0038982,0.030942,0.014853,0.014853,0.018289,0.0068665,0.0068665,0.02735,0.0084978,0.0084978,0.8161716786146541,-1.2151115684937999
112,7.0764,9.541e-05,0.0019434,0.01009,0.0067337,0.0067337,3,-6.1728,-0.0090503,0.051151,0.023256,0.0005809,0.0005809,0.018797,0.012118,0.012118,0.01009,0.0067337,0.0067337,0.017238,0.0051198,0.0051198,0.823526673494088,-2.2753776119889997
113,7.1396,9.4362e-05,9.5781e-05,0.013134,0.010249,0.010051,4,-5.1571,-0.012766,0.045404,0.022675,0.0016158,0.0016158,0.013233,0.01015,0.01015,0.0061491,0.0069822,0.0069822,0.013134,0.0028562,0.0028562,0.830881668373522,-2.347398983109799
114,7.2027,9.3709e-05,9.5098e-05,0.011596,0.0087356,0.010532,4,-5.5562,-0.015259,0.045204,0.023748,0.0028658,0.0028658,0.010698,0.0096339,0.0096339,0.0040834,0.0071325,0.0071325,0.011596,0.0017944,0.0017944,0.8382250256028303,-1.964640060726098
115,7.2659,9.3232e-05,9.4717e-05,0.010422,0.0012914,0.0012914,4,-5.8613,-0.020634,0.047428,0.024278,0.003573,0.003573,0.0089317,0.0097034,0.0097034,0.0023454,0.0068591,0.0068591,0.010422,0.0012914,0.0012914,0.8455800204822642,-1.7606765569327987
116,7.3291,9.2831e-05,9.4506e-05,0.010019,0.00055942,0.00055942,4,-5.9435,-0.025794,0.052564,0.025242,0.0049893,0.0049893,0.0084446,0.0099881,0.0099881,0.0010234,0.0069701,0.0069701,0.010019,0.00055942,0.00055942,0.8529350153616981,-1.4347139384399004
117,7.3923,9.2439e-05,9.4402e-05,0.0097943,0.00030441,0.00030441,4,-5.9732,-0.030399,0.059279,0.025725,0.0067746,0.0067746,0.0086249,0.010341,0.010341,-8.6966e-05,0.0071629,0.0071629,0.0097943,0.00030441,0.00030441,0.860290010241132,-1.2529576879430984
