Charge/Discharge [mAh],OCV [V]   ,OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
3.9714,0.0001796,0.00018904,0.024981,0.0066135,0.0066135,4,-9.8296,-0.081824,0.19619,0.020834,0.0066977,0.0066977,0.036097,0.025196,0.025196,-6.7227e-05,0.01427,0.01427,0.024981,0.0066135,0.0066135
4.023,0.00017851,0.00018788,0.025185,0.0068086,0.0068086,4,-9.6639,-0.081119,0.1945,0.021149,0.0064263,0.0064263,0.036182,0.025296,0.025296,0.00050511,0.013647,0.013647,0.025185,0.0068086,0.0068086
4.0746,0.00017741,0.0001867,0.025136,0.0067232,0.0067232,4,-9.5723,-0.081254,0.19219,0.021272,0.006385,0.006385,0.035865,0.025073,0.025073,0.001061,0.013327,0.013327,0.025136,0.0067232,0.0067232
4.1261,0.0001763,0.00018555,0.025396,0.0062038,0.0062038,4,-9.3871,-0.083187,0.19215,0.021352,0.0068577,0.0068577,0.036308,0.02444,0.02444,0.001333,0.013204,0.013204,0.025396,0.0062038,0.0062038
4.1777,0.00017518,0.00018439,0.025181,0.0061454,0.0061454,4,-9.3448,-0.081549,0.18926,0.021194,0.0067302,0.0067302,0.035791,0.024166,0.024166,0.0018077,0.012831,0.012831,0.025181,0.0061454,0.0061454
4.2293,0.00017407,0.00018327,0.02529,0.0053629,0.0053629,4,-9.2053,-0.080213,0.1898,0.020914,0.0074743,0.0074743,0.036122,0.023292,0.023292,0.0018471,0.013137,0.013137,0.02529,0.0053629,0.0053629
4.2809,0.00017294,0.00018214,0.024789,0.0047458,0.0047458,4,-9.2457,-0.081508,0.18842,0.020156,0.0078913,0.0078913,0.03553,0.022402,0.022402,0.0017342,0.013324,0.013324,0.024789,0.0047458,0.0047458
4.3325,0.0001718,0.00018102,0.024729,0.0044653,0.0044653,4,-9.153,-0.079694,0.18807,0.019736,0.0080658,0.0080658,0.035444,0.021987,0.021987,0.0017813,0.013605,0.013605,0.024729,0.0044653,0.0044653
4.384,0.00017064,0.0001799,0.023791,0.0035148,0.0035148,4,-9.3215,-0.08213,0.18613,0.018427,0.0087119,0.0087119,0.034435,0.020601,0.020601,0.00091991,0.014628,0.014628,0.023791,0.0035148,0.0035148
4.4356,0.00016946,0.00017872,0.023035,0.0030825,0.0030825,4,-9.4339,-0.080189,0.18543,0.017337,0.0089803,0.0089803,0.03369,0.019933,0.019933,-0.00011018,0.01559,0.01559,0.023035,0.0030825,0.0030825
4.4872,0.00016824,0.00017749,0.022239,0.0031405,0.0031405,4,-9.5556,-0.082325,0.18455,0.016421,0.0087589,0.0087589,0.032802,0.019761,0.019761,-0.0010514,0.016081,0.016081,0.022239,0.0031405,0.0031405
4.5388,0.000167,0.00017619,0.021874,0.0032271,0.0032271,4,-9.5459,-0.079178,0.18621,0.015909,0.0087537,0.0087537,0.032687,0.019939,0.019939,-0.0019489,0.016238,0.016238,0.021874,0.0032271,0.0032271
4.5903,0.00016572,0.00017486,0.021733,0.0041558,0.0041558,4,-9.4648,-0.079711,0.18418,0.015965,0.0077038,0.0077038,0.032245,0.020733,0.020733,-0.00089709,0.01388,0.01388,0.021733,0.0041558,0.0041558
4.6419,0.00016441,0.00017358,0.022745,0.0049866,0.0049866,4,-9.0344,-0.078452,0.18295,0.016623,0.0066859,0.0066859,0.033143,0.021352,0.021352,0.0021445,0.0098038,0.0098038,0.022745,0.0049866,0.0049866
4.6935,0.00016306,0.00017247,0.02465,0.0051316,0.0051316,4,-8.3332,-0.077289,0.18241,0.017226,0.0061368,0.0061368,0.035034,0.021023,0.021023,0.0065828,0.006017,0.006017,0.02465,0.0051316,0.0051316
4.7451,0.00016167,0.0001716,0.027265,0.0044223,0.0044223,4,-7.4139,-0.076801,0.18207,0.017269,0.005945,0.005945,0.037718,0.019242,0.019242,0.010924,0.0046607,0.0046607,0.027265,0.0044223,0.0044223
4.7966,0.00016023,0.00016148,0.039092,0.014403,0.014403,2,-3.7248,-0.077159,0.18374,0.014698,0.0076149,0.0076149,0.039092,0.014403,0.014403,0.011701,0.0086919,0.0086919,0.028567,0.00124,0.00124
4.8482,0.00015874,0.00016044,0.036382,0.0065764,0.0065764,2,-4.3958,-0.08095,0.18647,0.0081873,0.011173,0.011173,0.036382,0.0065764,0.0065764,0.005635,0.018821,0.018821,0.026081,0.0044865,0.0044865
